*Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
33146.067753	4.90472e+07	6.6224e+07	1.11092e+08	1.11271e+08	141708    	596601    	65983.5   	69021.2   	102469    
33239.700710	4.90912e+07	6.63252e+07	1.11383e+08	1.11562e+08	141888    	598795    	66100.5   	69138.1   	102648    
33333.333667	4.91352e+07	6.64263e+07	1.11674e+08	1.11854e+08	142068    	600989    	66217.5   	69255     	102827    
33426.966624	4.91791e+07	6.65275e+07	1.11965e+08	1.12145e+08	142249    	603183    	66334.4   	69371.9   	103006    
33520.599581	4.92231e+07	6.66286e+07	1.12256e+08	1.12437e+08	142429    	605376    	66451.4   	69488.8   	103185    
33614.232537	4.92671e+07	6.67298e+07	1.12547e+08	1.12728e+08	142609    	607570    	66568.4   	69605.7   	103364    
33707.865494	4.93111e+07	6.68309e+07	1.12838e+08	1.1302e+08	142789    	609764    	66685.3   	69722.6   	103543    
33801.498451	4.93551e+07	6.69321e+07	1.1313e+08	1.13311e+08	142970    	611958    	66802.3   	69839.5   	103722    
33895.131408	4.93991e+07	6.70332e+07	1.13421e+08	1.13603e+08	143150    	614151    	66919.2   	69956.3   	103901    
33988.764365	4.94431e+07	6.71343e+07	1.13712e+08	1.13894e+08	143330    	616345    	67036.2   	70073.2   	104080    
34082.397322	4.94839e+07	6.72315e+07	1.14002e+08	1.14184e+08	143505    	618578    	67151.6   	70188.4   	104256    
34176.030279	4.95244e+07	6.73282e+07	1.14291e+08	1.14474e+08	143679    	620815    	67266.8   	70303.2   	104432    
34269.663236	4.95649e+07	6.74248e+07	1.14581e+08	1.14764e+08	143853    	623053    	67381.9   	70418.1   	104608    
34363.296193	4.96053e+07	6.75215e+07	1.1487e+08	1.15054e+08	144027    	625291    	67497.1   	70533     	104784    
34456.929150	4.96458e+07	6.76182e+07	1.1516e+08	1.15343e+08	144201    	627529    	67612.3   	70647.8   	104960    
34550.562107	4.96862e+07	6.77148e+07	1.15449e+08	1.15633e+08	144375    	629767    	67727.5   	70762.7   	105136    
34644.195064	4.97267e+07	6.78115e+07	1.15739e+08	1.15923e+08	144549    	632004    	67842.6   	70877.6   	105312    
34737.828021	4.97671e+07	6.79081e+07	1.16028e+08	1.16213e+08	144723    	634242    	67957.8   	70992.5   	105489    
34831.460978	4.98076e+07	6.80048e+07	1.16318e+08	1.16503e+08	144896    	636480    	68073     	71107.3   	105665    
34925.093934	4.9848e+07	6.81014e+07	1.16607e+08	1.16792e+08	145070    	638718    	68188.2   	71222.2   	105841    
35018.726891	4.98885e+07	6.81981e+07	1.16897e+08	1.17082e+08	145244    	640956    	68303.3   	71337.1   	106017    
35112.359848	4.99289e+07	6.82947e+07	1.17186e+08	1.17372e+08	145418    	643193    	68418.5   	71451.9   	106193    
35205.992805	4.99694e+07	6.83914e+07	1.17476e+08	1.17662e+08	145592    	645431    	68533.7   	71566.8   	106369    
35299.625762	5.00098e+07	6.8488e+07	1.17765e+08	1.17952e+08	145766    	647669    	68648.8   	71681.7   	106545    
35393.258719	5.00503e+07	6.85847e+07	1.18055e+08	1.18241e+08	145940    	649907    	68764     	71796.6   	106721    
35486.891676	5.00907e+07	6.86813e+07	1.18344e+08	1.18531e+08	146114    	652145    	68879.2   	71911.4   	106897    
35580.524633	5.01312e+07	6.8778e+07	1.18634e+08	1.18821e+08	146288    	654383    	68994.4   	72026.3   	107073    
35674.157590	5.01716e+07	6.88746e+07	1.18923e+08	1.19111e+08	146462    	656620    	69109.5   	72141.2   	107249    
35767.790547	5.02121e+07	6.89713e+07	1.19213e+08	1.19401e+08	146636    	658858    	69224.7   	72256     	107425    
35861.423504	5.02525e+07	6.9068e+07	1.19502e+08	1.19691e+08	146810    	661096    	69339.9   	72370.9   	107601    
