*F(0)/B(1)       tel     strip     Intercepts          Slope 
         1         7         5      0.0130717      0.0069177
         1         7         6      -0.624379     0.00665893
         1         7         7      -0.149171     0.00690576
         1         7         8      -0.350671     0.00681863
         1         7         9      -0.552425     0.00688022
         1         7        10      -0.662588     0.00669292
         1         7        11      -0.322087     0.00693166
         1         7        12      -0.681634     0.00670213
         1         7        13      -0.566265      0.0069408
         1         7        14      -0.699183     0.00671886
         1         7        15      -0.341331     0.00702567
         1         7        16      -0.552854     0.00672277
         1         7        17      -0.075187     0.00702476
         1         7        18      -0.580493     0.00690337
         1         7        19      -0.222544     0.00693823
         1         7        20      -0.665965     0.00671974
         1         7        21      -0.541653     0.00689461
         1         7        22      -0.505153     0.00667521
         1         7        23     0.00448343     0.00710843
         1         7        24      -0.473427     0.00674701
         1         7        25       -0.34103     0.00689413
         1         7        26      -0.491991     0.00680676
         1         7        27      -0.361324     0.00688363
         1         7        28      -0.638218     0.00670505
         1         7        29      -0.201652     0.00690132
         1         7        30      -0.401762     0.00675125
         1         7        31      -0.644659     0.00685583
         1         8         0      -0.465211     0.00685688
         1         8         1      -0.376484     0.00698792
         1         8         2      -0.396371     0.00687321
         1         8         3      -0.499133     0.00700977
         1         8         4       -0.53636     0.00683941
         1         8         5      -0.219656     0.00700274
         1         8         6      -0.467143     0.00686778
         1         8         7      -0.329818     0.00705185
         1         8         8      -0.679643     0.00686433
         1         8         9       -0.51718     0.00700652
         1         8        10      -0.581754     0.00688459
         1         8        11      -0.461611     0.00698967
         1         8        12      -0.504532     0.00694744
         1         8        13      -0.601387     0.00698505
         1         8        14      -0.770103     0.00690506
         1         8        15      -0.830506     0.00701963
         1         8        16      -0.539186     0.00687042
         1         8        17      -0.472718     0.00701705
         1         8        18       -0.65443     0.00680738
	 1         8        19      -0.509322     0.00703601
         1         8        20      -0.621829     0.00684298
         1         8        21      -0.605062     0.00699814
         1         8        22      -0.718272     0.00684793
         1         8        23      -0.467224     0.00702147
         1         8        24      -0.388854     0.00685627
         1         8        25      -0.684675     0.00697181
         1         8        26      -0.472955     0.00690042
         1         8        27      -0.659724     0.00699453
         1         8        28      -0.818384     0.00685376
         1         8        29      -0.561507     0.00695898
         1         8        30      -0.425894     0.00687702
         1         8        31       -0.55057     0.00701066
         1         9         0      -0.556397     0.00683613
         1         9         1      -0.149375     0.00690392
	 1         9         2      -0.315252     0.00702139
         1         9         3      -0.290245     0.00687093
         1         9         4      -0.748344     0.00683817
         1         9         5      -0.389083     0.00697421
	 1         9         6      -0.356746     0.00685587
         1         9         7      -0.389367     0.00692566
         1         9         8      -0.700468     0.00683768
         1         9         9        -1.0539     0.00716869
         1         9        10      -0.669195     0.00684284
         1         9        11      -0.504631     0.00690314
         1         9        12      -0.643611     0.00683483
         1         9        13      -0.642053     0.00691957
         1         9        14      -0.500517     0.00687735
         1         9        16      -0.391141     0.00751337
         1         9        17      -0.715927     0.00718492
         1         9        18      -0.672761     0.00683416
         1         9        19      -0.570362      0.0069934
         1         9        20      -0.542887     0.00681615
         1         9        21      -0.472127     0.00690897
