*Tele   CsI  Peak     Voltage     Channel
1 1  65 2.697 3001.6
1 1  66 2.746 3051
1 1  67 2.795 3099.7
1 1  68 2.844 3148.3
1 1  69 2.893 3198.2
1 1  70 2.942 3247
1 1  71 2.991 3295.6
1 1  72 3.04 3344.1
1 1  73 3.089 3393.7
1 1  74 3.138 3442.3
1 1  75 3.187 3490.8
1 1  76 3.236 3539.2
1 1  77 3.285 3588.9
1 1  78 3.334 3637.4
1 1  79 3.383 3685.8
1 1  80 3.432 3734.3
1 1  81 3.481 3782.9
1 1  82 3.53 3829.9
1 1  83 3.579 3875.4
1 1  84 3.628 3920.2
1 1  85 3.677 3963
1 2  1 0.01 68.131
1 2  2 0.019 78.271
1 2  3 0.028 88.452
1 2  4 0.037 98.421
1 2  5 0.046 108.522
1 2  6 0.055 118.841
1 2  7 0.064 128.825
1 2  8 0.073 138.26
1 2  9 0.082 148.565
1 2  10 0.091 159.051
1 2  11 0.1 169.4
1 2  12 0.149 225.8
1 2  13 0.198 282.1
1 2  14 0.247 338
1 2  15 0.296 395
1 2  16 0.345 450.9
1 2  17 0.394 506.8
1 2  18 0.443 562.7
1 2  19 0.492 618.6
1 2  20 0.541 674.5
1 2  21 0.59 731.6
1 2  22 0.639 787.5
1 2  23 0.688 843.2
1 2  24 0.737 899.1
1 2  25 0.786 954.8
1 2  26 0.835 1010.7
1 2  27 0.884 1067.2
1 2  28 0.933 1122.7
1 2  29 0.982 1178
1 2  30 1.031 1233
1 2  31 1.08 1287.4
1 2  32 1.129 1341.4
1 2  33 1.178 1395.8
1 2  34 1.227 1448.7
1 2  35 1.276 1500.8
1 2  36 1.325 1552.6
1 2  37 1.374 1603.9
1 2  38 1.423 1655.7
1 2  39 1.472 1706.2
1 2  40 1.521 1756.3
1 2  41 1.57 1805.9
1 2  42 1.619 1856.3
1 2  43 1.668 1905.4
1 2  44 1.717 1954.3
1 2  45 1.766 2003
1 2  46 1.815 2052.5
1 2  47 1.864 2101.1
1 2  48 1.913 2149.4
1 2  49 1.962 2198.7
1 2  50 2.011 2246.9
1 2  51 2.06 2295.1
1 2  52 2.109 2343
1 2  53 2.158 2391.8
1 2  54 2.207 2439.9
1 2  55 2.256 2487.6
1 2  56 2.305 2535.3
1 2  57 2.354 2584.2
1 2  58 2.403 2631.9
1 2  59 2.452 2679.5
1 2  60 2.501 2728.3
1 2  61 2.55 2776
1 2  62 2.599 2823.5
1 2  63 2.648 2871
1 2  64 2.697 2919.5
1 2  65 2.746 2967.1
1 2  66 2.795 3014.5
1 2  67 2.844 3062.9
1 2  68 2.893 3110.4
1 2  69 2.942 3158.1
1 2  70 2.991 3205.5
1 2  71 3.04 3254
1 2  72 3.089 3301.3
1 2  73 3.138 3348.7
1 2  74 3.187 3397
1 2  75 3.236 3444.3
1 2  76 3.285 3491.7
1 2  77 3.334 3539.1
1 2  78 3.383 3587.4
1 2  79 3.432 3634.7
1 2  80 3.481 3682
1 2  81 3.53 3730.2
1 2  82 3.579 3777.1
1 2  83 3.628 3823.8
1 2  84 3.677 3869.8
1 2  85 3.726 3916.7
1 2  86 3.775 3962.9
1 3  1 0.01 93.559
1 3  2 0.019 103.73
1 3  3 0.028 113.603
1 3  4 0.037 123.384
1 3  5 0.046 133.277
1 3  6 0.051 138.1
1 3  7 0.055 142.447
1 3  8 0.064 152.492
1 3  9 0.073 162.651
1 3  10 0.082 173.031
1 3  11 0.091 183.246
1 3  12 0.1 193.6
1 3  13 0.149 249.1
1 3  14 0.198 304.4
1 3  15 0.247 359.3
1 3  16 0.296 414.2
1 3  17 0.345 469.3
1 3  18 0.394 525.3
1 3  19 0.443 580.2
1 3  20 0.492 635.2
1 3  21 0.541 690.2
1 3  22 0.59 745.3
1 3  23 0.639 800.6
1 3  24 0.688 856.1
1 3  25 0.737 911
1 3  26 0.786 965.8
1 3  27 0.835 1020.8
1 3  28 0.884 1075.5
1 3  29 0.933 1131
1 3  30 0.982 1185.4
1 3  31 1.031 1239.4
1 3  32 1.08 1293.2
1 3  33 1.129 1346.3
1 3  34 1.178 1399.5
1 3  35 1.227 1451.8
1 3  36 1.276 1503.2
1 3  37 1.325 1554.2
1 3  38 1.374 1604.5
1 3  39 1.423 1655.5
1 3  40 1.472 1705.2
1 3  41 1.521 1754.5
1 3  42 1.57 1803.3
1 3  43 1.619 1852.8
1 3  44 1.668 1901.3
1 3  45 1.717 1949.4
1 3  46 1.766 1998.4
1 3  47 1.815 2046
1 3  48 1.864 2093.8
1 3  49 1.913 2141.4
1 3  50 1.962 2189.8
1 3  51 2.011 2237.2
1 3  52 2.06 2284.5
1 3  53 2.109 2332.7
1 3  54 2.158 2379.8
1 3  55 2.207 2427.1
1 3  56 2.256 2474
1 3  57 2.305 2522
1 3  58 2.354 2568.9
1 3  59 2.403 2615.9
1 3  60 2.452 2663.7
1 3  61 2.501 2710.6
1 3  62 2.55 2757.5
1 3  63 2.599 2804.3
1 3  64 2.648 2852.1
1 3  65 2.697 2898.7
1 3  66 2.746 2945.4
1 3  67 2.795 2993
1 3  68 2.844 3039.6
1 3  69 2.893 3086.3
1 3  70 2.942 3133.6
1 3  71 2.991 3180.7
1 3  72 3.04 3227.3
1 3  73 3.089 3273.8
1 3  74 3.138 3321.5
1 3  75 3.187 3368.1
1 3  76 3.236 3414.4
1 3  77 3.285 3462
1 3  78 3.334 3508.5
1 3  79 3.383 3554.9
1 3  80 3.432 3601.6
1 3  81 3.481 3648.8
1 3  82 3.53 3695.3
1 3  83 3.579 3741.5
1 3  84 3.628 3788.5
1 3  85 3.677 3834.1
1 3  86 3.726 3879.9
1 3  87 3.775 3926.9
1 3  88 3.824 3973.2
2 0  1 0.01 62.526
2 0  2 0.019 71.819
2 0  3 0.028 82.505
2 0  4 0.037 92.717
2 0  5 0.046 103.32
2 0  6 0.055 113.938
2 0  7 0.064 124.525
2 0  8 0.073 134.631
2 0  9 0.082 145.072
2 0  10 0.091 156.029
2 0  11 0.1 166.9
2 0  12 0.149 225.8
2 0  13 0.198 284.3
2 0  14 0.247 342.8
2 0  15 0.296 401
2 0  16 0.345 460.5
2 0  17 0.394 518.9
2 0  18 0.443 577.2
2 0  19 0.492 635.5
2 0  20 0.541 693.8
2 0  21 0.59 752.3
2 0  22 0.639 810.6
2 0  23 0.688 868.7
2 0  24 0.737 928
2 0  25 0.786 986.2
2 0  26 0.835 1044.5
2 0  27 0.884 1102.4
2 0  28 0.933 1160.3
2 0  29 0.982 1218.1
2 0  30 1.031 1275.2
2 0  31 1.08 1333.2
2 0  32 1.129 1389.5
2 0  33 1.178 1445.1
2 0  34 1.227 1500.4
2 0  35 1.276 1554.9
2 0  36 1.325 1609
2 0  37 1.374 1663.5
2 0  38 1.423 1716.5
2 0  39 1.472 1769.2
2 0  40 1.521 1821.5
2 0  41 1.57 1873.2
2 0  42 1.619 1925.8
2 0  43 1.668 1977.1
2 0  44 1.717 2028.2
2 0  45 1.766 2079.3
2 0  46 1.815 2131
2 0  47 1.864 2181.7
2 0  48 1.913 2232.2
2 0  49 1.962 2282.5
2 0  50 2.011 2333.4
2 0  51 2.06 2384.1
2 0  52 2.109 2434.1
2 0  53 2.158 2484.2
2 0  54 2.207 2534.2
2 0  55 2.256 2585.3
2 0  56 2.305 2635.2
2 0  57 2.354 2685.3
2 0  58 2.403 2735.1
2 0  59 2.452 2785.9
2 0  60 2.501 2835.7
2 0  61 2.55 2885.5
2 0  62 2.599 2935.2
2 0  63 2.648 2985.8
2 0  64 2.697 3035.5
2 0  65 2.746 3085
2 0  66 2.795 3134.7
2 0  67 2.844 3185.5
2 0  68 2.893 3235.2
2 0  69 2.942 3285
2 0  70 2.991 3334.6
