*    FB  Tele Strip  Intertcept   	Slope
     1     1    28   -0.335849    0.00667251
     1     1    29   -0.645781    0.00687167
     1     1    30   -0.547011    0.00673170
     1     1    31   -0.621159    0.00683021
     1     2     0   -0.694401    0.00678647
     1     2     1   -0.347055    0.00677255
     1     2     2   -0.711941    0.00679237
     1     2     3   -0.408895    0.00678153
     1     2     4   -0.546875    0.00680324
     1     2     5   -0.344934    0.00678910
     1     2     6   -0.561903    0.00678814
     1     2     7   -0.357458    0.00676590
     1     2     8   -0.668635    0.00674271
     1     2     9   -0.557564    0.00675304
     1     2    10   -0.831937    0.00685313
     1     2    11   -0.582809    0.00678239
     1     2    12   -0.718122    0.00678750
     1     2    13   -0.495569    0.00674868
     1     2    14   -0.487429    0.00683814
     1     2    15   -0.524164    0.00673480
     1     2    16   -0.708027    0.00678951
     1     2    17   -0.563493    0.00675751
     1     2    18   -0.650734    0.00686313
     1     2    19   -0.519905    0.00682358
     1     2    20   -0.787274    0.00680023
     1     2    21   -0.506475    0.00678291
     1     2    22   -0.642467    0.00681031
     1     2    23   -0.679693    0.00677146
     1     2    24   -0.547007    0.00684934
     1     2    25   -0.525663    0.00676048
     1     2    26   -0.789300    0.00679965
     1     2    27   -0.481689    0.00679271
     1     2    28   -0.615991    0.00681086
     1     2    29   -0.656578    0.00676167
     1     2    30   -0.670201    0.00677169
     1     2    31   -0.524372    0.00679854
     1     3     0   -0.431099    0.00715303
     1     3     1   -0.174614    0.00686176
     1     3     2   -0.293561    0.00717448
     1     3     3   -0.133142    0.00689037
     1     3     4   -0.515227    0.00717548
     1     3     5   -0.314896    0.00692301
     1     3     6   -0.314896    0.00692301
     1     3     7   -0.314896    0.00692301
     1     3     8   -0.660728    0.00718244
     1     3     9   -0.660728    0.00718244
     1     3    10   -0.660728    0.00718244
     1     3    11   -0.518998    0.00692584
     1     3    12   -0.597215    0.00711756
     1     3    13   -0.536842    0.00688444
     1     3    14   -0.717792    0.00711386
     1     3    15   -0.139467    0.00694125
     1     3    16   -0.411346    0.00723402
     1     3    17   -0.246106    0.00690741
     1     3    18   -0.506129    0.00718698
     1     3    19   -0.416269    0.00689097
     1     3    20   -0.587964    0.00715947
     1     3    21   -0.172629    0.00692317
     1     3    22   -0.684255    0.00716518
     1     3    23   -0.360895    0.00685065
     1     3    24   -0.569624    0.00719092
     1     3    25   -0.507469    0.00686612
     1     3    26   -0.678818    0.00721025
     1     3    27   -0.497739    0.00685014
     1     3    28   -0.839157    0.00707939
     1     3    29   -0.398967    0.00686983
     1     3    30   -0.650950    0.00713331
     1     3    31   -0.634547    0.00693375
     1     4     0   -0.605749    0.00700828
     1     4     1   -0.455772    0.00699764
     1     4     2   -0.675694    0.00698366
     1     4     3   -0.414084    0.00697940
     1     4     4   -0.470731    0.00707214
     1     4     5   -0.269955    0.00703130
     1     4     6   -0.248948    0.00698869
     1     4     7   -0.588227    0.00703813
     1     4     8   -0.580685    0.00701065
     1     4     9   -0.677660    0.00695328
     1     4    10   -0.877949    0.00704780
     1     4    11   -0.520034    0.00698799
     1     4    12   -0.800755    0.00698648
     1     4    13   -0.747700    0.00694455
     1     4    14   -0.690134    0.00699055
     1     4    15   -0.678966    0.00689550
     1     4    16   -0.519267    0.00699652
     1     4    17   -0.436829    0.00696803
     1     4    18   -0.718689    0.00699559
     1     4    19   -0.700536    0.00693785
     1     4    20   -0.763244    0.00696577
     1     4    21   -0.804563    0.00693382
     1     4    22   -0.613774    0.00692049
     1     4    23   -0.825218    0.00688535
     1     4    24   -0.746350    0.00693561
     1     4    25   -0.993904    0.00692423
     1     4    26   -0.530271    0.00694823
     1     4    27   -0.823331    0.00692919
     1     4    28   -0.723072    0.00695455
     1     4    29   -0.746332    0.00688280
     1     4    30   -1.148415    0.00690905
     1     4    31   -0.612630    0.00694258
     1     5     0   -0.328513    0.00721862
     1     5     1   -0.181837    0.00673416
     1     5     2   -0.360706    0.00692488
     1     5     3   -0.160320    0.00664890
     1     5     4   -0.424813    0.00685599
     1     5     5   -0.167498    0.00663732
     1     5     6   -0.456604    0.00684669
     1     5     7   -0.216051    0.00665212
     1     5     8   -0.608801    0.00684019
     1     5     9   -0.340042    0.00665942
     1     5    10   -1.036830    0.00694972
     1     5    11   -0.424386    0.00688825
     1     5    12   -0.558537    0.00717667
     1     5    13   -0.263169    0.00687295
     1     5    14   -0.740673    0.00713223
     1     5    15   -0.193728    0.00678125
     1     5    16   -0.349506    0.00701156
     1     5    17   -0.207905    0.00681267
     1     5    18   -0.599316    0.00701089
     1     5    19   -0.392797    0.00689677
     1     5    20   -0.536003    0.00707718
     1     5    21   -0.242435    0.00683569
     1     5    22   -0.406748    0.00696818
     1     5    23   -0.410121    0.00666360
     1     5    24   -0.524663    0.00685094
     1     5    25   -0.222654    0.00665500
     1     5    26   -0.619623    0.00691846
     1     5    27   -0.307997    0.00662607
     1     5    28   -0.760595    0.00680707
     1     5    29   -0.338892    0.00662499
     1     5    30   -0.460770    0.00687139
     1     5    31   -0.275137    0.00703428
     1     6     0   -0.365550    0.00688318
     1     6     1   -0.326399    0.00675743
     1     6     2   -0.639847    0.00685853
     1     6     3   -0.181306    0.00675804
     1     6     4   -0.497096    0.00690611
     1     6     5   -0.339034    0.00676268
     1     6     6   -0.335892    0.00689600
     1     6     7   -0.064093    0.00684245
     1     6     8   -0.872568    0.00687173
     1     6     9   -0.426617    0.00676239
     1     6    10   -0.643171    0.00686926
     1     6    11   -0.515167    0.00677053
     1     6    12   -0.723917    0.00693401
     1     6    13   -0.560785    0.00678743
     1     6    14   -0.486971    0.00693595
     1     6    15   -0.290152    0.00680074
     1     6    16   -0.582101    0.00694216
     1     6    17   -0.487478    0.00676808
     1     6    18   -0.824767    0.00694907
     1     6    19   -0.451359    0.00676346
     1     6    20   -0.572772    0.00691182
     1     6    21   -0.497034    0.00675098
     1     6    22   -0.814521    0.00690688
     1     6    23   -0.494575    0.00675237
     1     6    24   -0.747073    0.00688812
     1     6    25   -0.554657    0.00674174
     1     6    26   -0.764083    0.00689908
     1     6    27   -0.485388    0.00675578
     1     6    28   -0.697974    0.00687779
     1     6    29   -0.367938    0.00675511
     1     6    30   -0.682285    0.00694563
     1     6    31   -0.378731    0.00673321
     1     7     0   -0.324441    0.00676895
     1     7     1   -0.200486    0.00689773
     1     7     2   -0.278876    0.00669883
     1     7     3   -0.280599    0.00694359
     1     7     4   -0.169069    0.00669696
     1     7     5    0.019854    0.00690643
     1     7     6   -0.630352    0.00666586
     1     7     7   -0.143838    0.00689700
     1     7     8   -0.358389    0.00681418
     1     7     9   -0.551056    0.00687743
     1     7    10   -0.519398    0.00658356
     1     7    11   -0.322120    0.00693116
     1     7    12   -0.697822    0.00671344
     1     7    13   -0.563482    0.00693477
     1     7    14   -0.712603    0.00672523
     1     7    15   -0.346951    0.00701918
     1     7    16   -0.550846    0.00671432
     1     7    17   -0.056064    0.00699463
     1     7    18   -0.598139    0.00690258
     1     7    19   -0.224238    0.00693585
     1     7    20   -0.660740    0.00671191
     1     7    21   -0.535533    0.00688434
     1     7    22   -0.500168    0.00666986
     1     7    23    0.010471    0.00708462
     1     7    24   -0.486734    0.00675047
     1     7    25   -0.336220    0.00688985
     1     7    26   -0.508738    0.00681162
     1     7    27   -0.362344    0.00688175
     1     7    28   -0.622169    0.00669057
     1     7    29   -0.208062    0.00690476
     1     7    30   -0.412113    0.00675606
     1     7    31   -0.591815    0.00681915
     1     8     0   -0.464648    0.00685012
     1     8     1   -0.349896    0.00695660
     1     8     2   -0.397122    0.00686964
     1     8     3   -0.467263    0.00697363
     1     8     4   -0.541056    0.00683768
     1     8     5   -0.185411    0.00696383
     1     8     6   -0.473671    0.00686895
     1     8     7   -0.305560    0.00702080
     1     8     8   -0.689055    0.00686927
     1     8     9   -0.491835    0.00697766
     1     8    10   -0.583320    0.00688298
     1     8    11   -0.449007    0.00697304
     1     8    12   -0.494580    0.00693481
     1     8    13   -0.573438    0.00695598
     1     8    14   -0.771195    0.00690262
     1     8    15   -0.788360    0.00697552
     1     8    16   -0.538509    0.00686855
     1     8    17   -0.436564    0.00697978
     1     8    18   -0.654804    0.00680663
     1     8    19   -0.480196    0.00700463
     1     8    20   -0.614864    0.00683214
     1     8    21   -0.578826    0.00697110
     1     8    22   -0.708196    0.00683772
     1     8    23   -0.438955    0.00699477
     1     8    24   -0.376710    0.00684501
     1     8    25   -0.653892    0.00694367
     1     8    26   -0.455846    0.00688562
     1     8    27   -0.618256    0.00695876
     1     8    28   -0.794783    0.00683285
     1     8    29   -0.514328    0.00691766
     1     8    30   -0.418681    0.00687250
     1     8    31   -0.561614    0.00703037
     1     9     0   -0.553620    0.00682458
     1     9     1   -0.137860    0.00688749
     1     9     2   -0.317117    0.00701052
     1     9     3   -0.276805    0.00684881
     1     9     4   -0.753095    0.00683436
     1     9     5   -0.133099    0.00689126
     1     9     6   -0.350321    0.00684564
     1     9     7   -0.387010    0.00691326
     1     9     8   -0.704774    0.00682797
     1     9     9   -0.593169    0.00688339
     1     9    10   -0.671873    0.00684253
     1     9    11   -0.494817    0.00688654
     1     9    12   -0.642503    0.00682928
     1     9    13   -0.614530    0.00689703
     1     9    14   -0.498126    0.00686607
     1     9    15   -0.498126    0.00686607
     1     9    16   -0.391188    0.00748342
     1     9    17   -0.274177    0.00689131
     1     9    18   -0.656074    0.00681681
     1     9    19   -0.575201    0.00698557
     1     9    20   -0.533532    0.00680410
     1     9    21   -0.453856    0.00689224
     1     9    22   -0.527143    0.00682524
     1     9    23   -0.605138    0.00695078
     1     9    24   -0.616374    0.00679091
     1     9    25   -0.560583    0.00688143
     1     9    26   -0.731446    0.00678270
     1     9    27   -0.514920    0.00693815
     1     9    28   -0.494797    0.00682062
     1     9    29   -0.575191    0.00686530
