*telescope      Si num    F(1)B(0)      Intercept            Slope  SaturationPoint    Para_constant      Para_Linear   Para_quadratic         CHI2dof
         9          16           1         78.254           3.6657           2094.6               -1               -1               -1          3.90998
         9          17           1        68.8435          3.81416             1200               -1               -1               -1         0.383596
         9          18           1       -45.6595           3.7713          1501.89               -1               -1               -1         0.880381
         9          19           1        97.9255          3.79439             1200               -1               -1               -1         0.265162
         9          20           1      -0.658882           3.7795          1501.67               -1               -1               -1         0.465844
         9          21           1        55.8577          3.78551          1501.02               -1               -1               -1         0.349849
         9          22           1        31.9437          3.79807             1200               -1               -1               -1         0.515076
         9          23           1        118.476          3.80351          1522.31               -1               -1               -1         0.350036
         9          24           1        43.5342          3.77324             1200               -1               -1               -1         0.659564
         9          25           1        128.141          3.83507             1200               -1               -1               -1         0.296686
         9          26           1       -4.47307          3.77157             1200               -1               -1               -1          1.47904
         9          27           1        123.136           3.8042          1565.01               -1               -1               -1         0.638878
         9          28           1        6.21893          3.82511             1200               -1               -1               -1         0.554047
         9          29           1        129.452          3.74252             1200               -1               -1               -1         0.286716
         9          30           1         8.3406          3.76805          1501.03               -1               -1               -1          1.43404
         9          31           1         115.02          3.77024          1502.32               -1               -1               -1         0.567516
        10           0           1        61.6788          3.81992          2035.32               -1               -1               -1          4.35481
        10           1           1        155.949          3.67816          1520.28               -1               -1               -1          4.35424
        10           2           1        160.231          3.78334          2129.65               -1               -1               -1            7.084
        10           3           1         113.33          3.81253             1200               -1               -1               -1         0.379105
        10           4           1        65.0599          3.83495          1502.93               -1               -1               -1         0.562332
        10           5           1        140.959          3.81674             1200               -1               -1               -1        0.0941891
        10           6           1        122.279          3.88244             1200               -1               -1               -1         0.130035
        10           7           1        122.578          3.86889             1200               -1               -1               -1         0.145134
        10           8           1        78.6012          3.84577             1200               -1               -1               -1         0.198574
        10           9           1        58.0661          3.83598             1200               -1               -1               -1         0.639092
        10          10           1        50.0525          3.82042             1200               -1               -1               -1         0.387645
        10          11           1        174.431          3.80336             1200               -1               -1               -1        0.0667399
        10          12           1          115.3          3.80172          1502.54               -1               -1               -1         0.129073
        10          13           1        43.5698          3.79709          1501.58               -1               -1               -1         0.612568
        10          14           1        99.1918          3.82251             1200               -1               -1               -1         0.192135
        10          15           1         60.907           3.7925             1200               -1               -1               -1          0.47446
        10          16           1        41.2713          3.86541             1200               -1               -1               -1         0.650197
        10          17           1         38.501           3.8795          1501.66               -1               -1               -1          1.97934
        10          18           1        59.1387           3.7478             1200               -1               -1               -1          0.64771
        10          19           1        85.4707          3.78253             1200               -1               -1               -1         0.447265
        10          20           1        76.1462          3.79727             1200               -1               -1               -1         0.377752
        10          21           1        61.6087          3.79034          1502.43               -1               -1               -1         0.521324
        10          22           1        55.8865          3.79517             1200               -1               -1               -1          0.38111
        10          23           1        147.988          3.75532             1200               -1               -1               -1         0.181993
        10          24           1        5.21199          3.85991          1510.84               -1               -1               -1          1.46294
        10          25           1        93.0724          3.61221          1501.91               -1               -1               -1          1.89874
        10          26           1        99.3197          3.80364          1502.68               -1               -1               -1         0.269348
        10          27           1         106.58          3.74075          1502.82               -1               -1               -1         0.374489
        10          28           1          103.4           3.7815             1200               -1               -1               -1         0.162397
        10          29           1        102.922          3.74992             1200               -1               -1               -1         0.299786
        10          30           1        31.6747           3.7866          1510.76               -1               -1               -1         0.904271
        10          31           1         100.49          3.75603             1200               -1               -1               -1         0.200783
        11           0           1        61.5659          3.78958          1528.15               -1               -1               -1         0.239707
        11           1           1        117.068          3.84022             1200               -1               -1               -1         0.178201
        11           2           1        9.98023          3.81973             1200               -1               -1               -1         0.187367
        11           3           1        88.8472          3.82817          1501.39               -1               -1               -1         0.357666
        11           4           1       -2.29757           3.8246             1200               -1               -1               -1         0.214402
        11           5           1        70.1788          3.84259          1502.18               -1               -1               -1         0.261395
        11           6           1        99.2142           3.8401             1200               -1               -1               -1         0.287394
        11           7           1        104.968          3.85108             1200               -1               -1               -1         0.233061
        11           8           1         49.526          3.82595             1200               -1               -1               -1         0.326452
        11           9           1        59.6384          3.83989             1500               -1               -1               -1         0.339033
        11          10           1        68.1599          3.82573             1200               -1               -1               -1         0.189579
        11          11           1        148.456          3.79378             1200               -1               -1               -1         0.149444
        11          12           1        28.7794          3.82418          1502.81               -1               -1               -1         0.431916
        11          13           1        108.527          3.85433             1200               -1               -1               -1         0.366389
        11          14           1        67.9594          3.83508             1200               -1               -1               -1         0.206633
        11          15           1        56.9617          3.81415             1200               -1               -1               -1         0.601552
        11          16           1         141.87          3.83884             1200               -1               -1               -1         0.217236
        11          17           1        160.053          3.82526          1501.04               -1               -1               -1         0.249344
        11          18           1        80.1109          3.78804          1510.09               -1               -1               -1         0.761725
        11          19           1        131.169          3.82614             1200               -1               -1               -1         0.194184
        11          20           1        44.4125           3.7982          1517.31               -1               -1               -1         0.501669
        11          21           1        75.4587          3.76003          1514.38               -1               -1               -1          2.77534
        11          22           1        37.9611          3.83258           1503.5               -1               -1               -1         0.238628
        11          23           1        101.235          3.80135          1501.52               -1               -1               -1         0.429119
        11          24           1        45.9318          3.79699          1750.26               -1               -1               -1         0.381814
        11          25           1        68.4813          3.79837             1200               -1               -1               -1         0.243124
